reviewAction,inducteeId,inducteeName,classYear,phraseLabel,phraseQuality,confidence,evidenceCount,sourcePageUrls,existingCountryTags,inferredCountryTags,safeguardStatus,migrationDirection,publicUse
exploratory-place-phrase-review,rev-mikhail-mikhail-2016,Rev. Mikhail Mikhail,2016,ClevelandPeople.Com read part of,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/reverend-mikhail-mikhail-2016/,Egypt,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,basil-russo-2017,Basil Russo,2017,Basil Russo,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/inductees-europe/basil-russo/,Italy,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,bill-miller-2017,Bill Miller,2017,Germany. His journalistic career,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/inductees-europe/bill-miller/,Germany|Poland,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,bill-miller-2017,Bill Miller,2017,Bill Miller,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/inductees-europe/bill-miller/,Germany|Poland,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,jim-craciun-2017,Jim Craciun,2017,St. Edward,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/inductees-europe/jim-craciun/,Italy|Romania,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,jim-craciun-2017,Jim Craciun,2017,Jim Craciun,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/inductees-europe/jim-craciun/,Italy|Romania,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,jim-craciun-2017,Jim Craciun,2017,St Mary Romanian Orthodox,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/inductees-europe/jim-craciun/,Italy|Romania,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,mona-alag-2017,Mona Alag,2017,Mona Alag,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/inductees/mona-alag/,India,India,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,sam-kim-2017,Sam Kim,2017,Sam Kim,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/inductees-asia/sam-kim/,South Korea,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,wael-khoury-2017,Wael Khoury,2017,Dr. Wael Khoury,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/inductees-asia/wael-khoury/,Syria,Syria,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,abby-mina-2018,Abby Mina,2018,Blue Cross,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/inductees-asia/abby-mina/,Lebanon,Lebanon,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,abby-mina-2018,Abby Mina,2018,Abby Mina,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/inductees-asia/abby-mina/,Lebanon,Lebanon,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,abby-mina-2018,Abby Mina,2018,Ohio Representative Marlene Anielski,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/inductees-asia/abby-mina/,Lebanon,Lebanon,needs-geography-review,not-inferred,candidate-only
