reviewPriority,inducteeId,inducteeName,classYear,region,sourceProfileCount,primarySourceProfileUrl,profileAliasCount,newImageReviewCount,newProfileVideoReviewCount,newContextVideoReviewCount,relationshipReviewCount,placeReviewCount,organizationReviewCount,primaryStoryLeadCount,manualFlags,nextBestAction
high,khalid-samad-2016-2016,Khalid Samad – 2016,2016,Africa,2,https://clevelandinternationalhalloffame.com/khalid-samad-2016/,1,4,0,0,2,0,3,3,profile-alias-review|duplicate-source-pages|image-rights-review|relationship-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,mohan-bafna-2016,Mohan Bafna,2016,Asia,2,https://clevelandinternationalhalloffame.com/mohan-bafna-2016/,1,3,0,2,6,1,11,3,profile-alias-review|duplicate-source-pages|image-rights-review|video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,rev-mikhail-mikhail-2016,Rev. Mikhail Mikhail,2016,Africa,2,https://clevelandinternationalhalloffame.com/induction-event-info/rev-mikhail-mikhail/,2,18,0,4,7,1,2,3,profile-alias-review|duplicate-source-pages|image-rights-review|video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
medium,valarie-mccall-2020,Valarie McCall,2020,North America,1,https://clevelandinternationalhalloffame.com/valarie-mccall/,0,1,0,14,21,0,12,3,image-rights-review|video-context-review|relationship-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
medium,honorable-jose-a-villanueva-2015,Honorable José A. Villanueva,2015,North America,1,https://clevelandinternationalhalloffame.com/honorable-jose-a-villanueva-2015/,0,0,0,0,5,0,10,3,relationship-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
medium,ernie-mihaly-2014,Ernie Mihaly,2014,Europe,1,https://clevelandinternationalhalloffame.com/ernie-mihaly-2014/,0,0,0,8,9,0,5,3,video-context-review|relationship-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
medium,dr-maria-pujana-2013,Dr. Maria Pujana,2013,South America,1,https://clevelandinternationalhalloffame.com/maria-pujana-2013/,0,0,0,0,7,0,10,3,relationship-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
medium,jose-c-feliciano-2012,José C. Feliciano,2012,North America,1,https://clevelandinternationalhalloffame.com/jose-feliciano-2012/,0,0,0,0,2,0,20,3,relationship-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
medium,albert-b-ratner-2011,Albert B. Ratner,2011,Europe,1,https://clevelandinternationalhalloffame.com/albert-b-ratner-2011/,0,0,0,2,9,0,7,3,video-context-review|relationship-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
medium,ralph-j-perk-2011,Ralph J. Perk,2011,Europe,1,https://clevelandinternationalhalloffame.com/mayor-ralph-perk-2011/,1,0,0,0,1,0,0,3,profile-alias-review|relationship-review|summary-approval-needed,Confirm alternate source profile URLs.
medium,alex-machaskee-2010,Alex Machaskee,2010,Europe,1,https://clevelandinternationalhalloffame.com/alex-machaskee-2010/,0,0,0,28,38,0,7,3,video-context-review|relationship-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
medium,august-pust-2010,August Pust,2010,Europe,1,https://clevelandinternationalhalloffame.com/august-pust-2010/,0,0,0,14,23,0,5,3,video-context-review|relationship-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
medium,margaret-w-wong-2010,Margaret W. Wong,2010,Asia,1,https://clevelandinternationalhalloffame.com/margaret-w-wong-2010/,0,0,0,13,30,0,10,3,video-context-review|relationship-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
standard,michael-d-polensek-2023,Michael D. Polensek,2023,Europe,1,https://clevelandinternationalhalloffame.com/michael-d-polensek/,0,7,0,0,3,0,7,3,image-rights-review|relationship-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
standard,victor-ruiz-2022,Victor Ruiz,2022,North America,1,https://clevelandinternationalhalloffame.com/victor-ruiz/,0,1,0,9,14,1,3,3,image-rights-review|video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
standard,joe-valencic-2020,Joe Valencic,2020,Europe,1,https://clevelandinternationalhalloffame.com/joe-valencic/,0,1,0,9,15,0,7,3,image-rights-review|video-context-review|relationship-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
standard,bishop-anthony-pilla-2015,Bishop Anthony Pilla,2015,Europe,1,https://clevelandinternationalhalloffame.com/bishop-anthony-pilla-2015/,0,0,0,2,9,1,3,3,video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
standard,dick-pogue-2015,Dick Pogue,2015,Europe,1,https://clevelandinternationalhalloffame.com/richard-pogue-2015/,0,0,0,2,14,0,14,3,video-context-review|relationship-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
