id,name,classYear,region,collectionStatus,wikipediaStatus,wikipediaTitle,wikipediaUrl,wikidataStatus,wikidataId,wikidataLabel,officialSiteLeadCount,officialSiteLeadUrls,factStubCount,sourceErrorCount,officialSiteSourceErrorCount,reviewReason
carolyn-balogh-2016-2016,Carolyn Balogh – 2016,2016,Europe,collected-needs-review,not-found,,,not-found,,,0,,1,1,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
eugenia-stolarczyk-2016-2016,Eugenia Stolarczyk – 2016,2016,Europe,collected-needs-review,not-found,,,not-found,,,0,,1,0,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
jack-kahl-2016,Jack Kahl,2016,Europe,collected-needs-review,candidates-only,,,candidates-only,,,1,https://clevelandpolicefoundation.org/about-the-cpf/jack-kahl/,1,0,0,Wikipedia candidates need identity review; Wikidata candidates need identity review; 1 official-site lead collected
khalid-samad-2016-2016,Khalid Samad – 2016,2016,Africa,collected-needs-review,candidates-only,,,candidates-only,,,0,,1,0,0,Wikipedia candidates need identity review; Wikidata candidates need identity review; no official-site lead collected
mohan-bafna-2016,Mohan Bafna,2016,Asia,collected-needs-review,candidates-only,,,not-found,,,0,,1,0,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
rev-mikhail-mikhail-2016,Rev. Mikhail Mikhail,2016,Africa,collected-needs-review,not-found,,,not-found,,,0,,1,1,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
basil-russo-2017,Basil Russo,2017,Europe,collected-needs-review,not-found,,,not-found,,,0,,1,2,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
bill-miller-2017,Bill Miller,2017,Europe,collected-needs-review,candidates-only,,,not-found,,,0,,1,2,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
jim-craciun-2017,Jim Craciun,2017,Europe,collected-needs-review,candidates-only,,,not-found,,,0,,1,1,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
mona-alag-2017,Mona Alag,2017,Asia,collected-needs-review,candidates-only,,,not-found,,,0,,1,1,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
sam-kim-2017,Sam Kim,2017,Asia,collected-needs-review,candidates-only,,,not-found,,,0,,1,1,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
wael-khoury-2017,Wael Khoury,2017,Asia,collected-needs-review,not-found,,,not-found,,,0,,1,1,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
abby-mina-2018,Abby Mina,2018,Asia,collected-needs-review,not-found,,,not-found,,,2,https://clevelandvoices.org/items/browse?term=citizenship&advanced[0][element_id]=49&advanced[0][type]=contains&advanced[0][terms]=citizenship|https://clevelandvoices.org/items/show/2634,2,2,0,no Wikipedia match collected; no Wikidata match collected; 2 official-site leads collected
atul-mehta-2018,Atul Mehta,2018,Asia,collected-needs-review,candidates-only,,,not-found,,,0,,1,1,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
ralph-perk-jr-2018,Ralph Perk Jr.,2018,Europe,collected-needs-review,candidates-only,,,not-found,,,0,,1,1,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
ray-pianka-2018,Ray Pianka,2018,Europe,collected-needs-review,not-found,,,not-found,,,0,,1,2,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
sheila-murphy-crawford-2018,Sheila Murphy Crawford,2018,Europe,collected-needs-review,not-found,,,not-found,,,0,,1,0,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
sister-alicia-alvarado-2018,Sister Alicia Alvarado,2018,North America,collected-needs-review,candidates-only,,,not-found,,,0,,1,0,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
akram-boutros-2019,Akram Boutros,2019,Africa,collected-needs-review,candidates-only,,,not-found,,,0,,1,0,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
ingrida-bublys-2019,Ingrida Bublys,2019,Europe,collected-needs-review,not-found,,,not-found,,,0,,1,0,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
marilyn-madigan-2019,Marilyn Madigan,2019,Europe,collected-needs-review,not-found,,,not-found,,,0,,1,0,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
paul-burik-2019,Paul Burik,2019,Europe,collected-needs-review,not-found,,,not-found,,,0,,1,0,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
richard-fleischman-2019,Richard Fleischman,2019,Europe,collected-needs-review,candidates-only,,,not-found,,,0,,1,1,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
sree-sreenath-2019,Sree Sreenath,2019,Asia,collected-needs-review,not-found,,,not-found,,,1,https://vayuusa.org/team/sree-n-sreenath-1/,1,1,0,no Wikipedia match collected; no Wikidata match collected; 1 official-site lead collected
berj-shakarian-2020,Berj Shakarian,2020,Europe,collected-needs-review,not-found,,,not-found,,,0,,1,2,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
joe-valencic-2020,Joe Valencic,2020,Europe,collected-needs-review,not-found,,,not-found,,,0,,1,2,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
margaret-lynch-2020,Margaret Lynch,2020,Europe,collected-needs-review,candidates-only,,,not-found,,,0,,1,2,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
may-chen-2020,May Chen,2020,Asia,collected-needs-review,candidates-only,,,not-found,,,0,,1,1,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
ramesh-shah-2020,Ramesh Shah,2020,Asia,collected-needs-review,candidates-only,,,not-found,,,0,,1,1,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
valarie-mccall-2020,Valarie McCall,2020,North America,collected-needs-review,not-found,,,not-found,,,0,,1,2,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
anda-cook-2022,Anda Cook,2022,Europe,collected-needs-review,not-found,,,not-found,,,0,,1,2,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
carl-robson-2022,Carl Robson,2022,Africa,collected-needs-review,candidates-only,,,not-found,,,0,,1,0,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
taras-szmagala-2022,Taras Szmagala,2022,Europe,collected-needs-review,not-found,,,not-found,,,1,https://www.csuohio.edu/sites/default/files/2026-02/bio-taras_szmagala_a11y.pdf,1,0,0,no Wikipedia match collected; no Wikidata match collected; 1 official-site lead collected
victor-ruiz-2022,Victor Ruiz,2022,North America,collected-needs-review,candidates-only,,,candidates-only,,,1,https://cpl.org/onecle/230/victor-ruiz/,1,0,0,Wikipedia candidates need identity review; Wikidata candidates need identity review; 1 official-site lead collected
georgine-welo-2023,Georgine Welo,2023,Europe,collected-needs-review,candidates-only,,,candidates-only,,,1,https://southeuclid.gov/,1,0,0,Wikipedia candidates need identity review; Wikidata candidates need identity review; 1 official-site lead collected
joyce-mariani-2023,Joyce Mariani,2023,Europe,collected-needs-review,not-found,,,not-found,,,1,http://flash.ulib.csuohio.edu/cmp/perk/mariani.html,1,1,0,no Wikipedia match collected; no Wikidata match collected; 1 official-site lead collected
michael-d-polensek-2023,Michael D. Polensek,2023,Europe,collected-needs-review,candidates-only,,,not-found,,,0,,1,1,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
pat-dowd-2023,Pat Dowd,2023,Europe,collected-needs-review,candidates-only,,,not-found,,,0,,1,1,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
pierre-bejjani-2023,Pierre Bejjani,2023,Asia,collected-needs-review,not-found,,,not-found,,,0,,1,1,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
sudarshan-sathe-2023,Sudarshan Sathe,2023,Asia,collected-needs-review,not-found,,,not-found,,,0,,1,2,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
ambassador-edward-f-crawford-2024,Ambassador Edward F. Crawford,2024,Europe,collected-needs-review,not-found,,,not-found,,,1,https://www.kent.edu/bot/edward-f-crawford,1,2,0,no Wikipedia match collected; no Wikidata match collected; 1 official-site lead collected
dona-brady-2024,Dona Brady,2024,Europe,collected-needs-review,not-found,,,not-found,,,0,,1,2,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
dr-eugene-jordan-2024,Dr. Eugene Jordan,2024,Africa,collected-needs-review,not-found,,,not-found,,,0,,1,2,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
erika-puussaar-2024,Erika Puussaar,2024,Europe,collected-needs-review,not-found,,,not-found,,,0,,1,1,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
johnny-k-wu-2024,Johnny K. Wu,2024,Asia,collected-needs-review,candidates-only,,,not-found,,,0,,1,1,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
veronica-dahlberg-2024,Veronica Dahlberg,2024,North America,collected-needs-review,not-found,,,not-found,,,0,,1,0,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
beverly-kerecman-2025,Beverly Kerecman,2025,Asia,collected-needs-review,not-found,,,not-found,,,0,,1,0,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
branka-malinar-2025,Branka Malinar,2025,Europe,collected-needs-review,not-found,,,not-found,,,0,,1,0,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
david-gilbert-2025,David Gilbert,2025,North America,collected-needs-review,candidates-only,,,candidates-only,,,0,,1,0,0,Wikipedia candidates need identity review; Wikidata candidates need identity review; no official-site lead collected
mayor-frank-jackson-2025,Mayor Frank Jackson,2025,Africa,collected-needs-review,not-found,,,candidates-only,,,2,https://case.edu/ech/articles/m/mayoral-administration-frank-g-jackson|https://hof.csulaw.org/hof-member/mayor-frank-g-jackson/,2,0,0,no Wikipedia match collected; Wikidata candidates need identity review; 2 official-site leads collected
raj-aggarwal-2025,Raj Aggarwal,2025,Asia,collected-needs-review,not-found,,,not-found,,,0,,1,2,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
svetlana-stolyarova-2025,Svetlana Stolyarova,2025,Asia,collected-needs-review,not-found,,,not-found,,,0,,1,1,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
aklilu-demessie-2026,Aklilu Demessie,2026,Africa,collected-needs-review,not-found,,,not-found,,,0,,1,1,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
andy-chakalis-2026,Andy Chakalis,2026,Europe,collected-needs-review,not-found,,,not-found,,,0,,1,1,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
andy-fedynsky-2026,Andy Fedynsky,2026,Europe,collected-needs-review,not-found,,,not-found,,,0,,1,1,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
catherine-jorgensen-mccutcheon-2026,Catherine Jorgensen McCutcheon,2026,Europe,collected-needs-review,not-found,,,not-found,,,0,,1,2,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
le-nguyen-2026,Le Nguyen,2026,Asia,collected-needs-review,not-found,,,not-found,,,0,,1,2,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
lucy-torres-2026,Lucy Torres,2026,North America,collected-needs-review,candidates-only,,,not-found,,,0,,1,1,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
