inducteeId,inducteeName,classYear,roleCandidate,confidence,sourceUrl,sourcePageUrl,width,height,altText,needsRightsReview
ambassador-edward-f-crawford-2024,Ambassador Edward F. Crawford,2024,portrait-or-person-specific,0.84,https://clevelandinternationalhalloffame.com/wp-content/uploads/2024/01/ambassador-crawford-new-500-249x300.jpg,https://clevelandinternationalhalloffame.com/inductees/ambassador-edward-f-crawford/,500,603,,true
ambassador-edward-f-crawford-2024,Ambassador Edward F. Crawford,2024,portrait-or-person-specific,0.84,https://clevelandinternationalhalloffame.com/wp-content/uploads/2024/01/ambassador-crawford-new-500.jpg,https://clevelandinternationalhalloffame.com/inductees/ambassador-edward-f-crawford/,500,603,Ambassador Edward F. Crawford,true
ambassador-edward-f-crawford-2024,Ambassador Edward F. Crawford,2024,portrait-or-person-specific,0.84,https://clevelandinternationalhalloffame.com/wp-content/uploads/2024/01/ambassador-crawford-500-1.jpg,https://clevelandinternationalhalloffame.com/inductees/ambassador-edward-f-crawford/,500,500,Ambassador Edward F. Crawford,true
anda-cook-2022,Anda Cook,2022,portrait-or-person-specific,0.84,https://clevelandinternationalhalloffame.com/wp-content/uploads/2022/05/anda-cook.jpg,https://clevelandinternationalhalloffame.com/anda-cook/,479,639,Anda Cook,true
andy-chakalis-2026,Andy Chakalis,2026,portrait-or-person-specific,0.84,https://clevelandinternationalhalloffame.com/wp-content/uploads/2026/03/andy-chakalis-500-275x300.jpg,https://clevelandinternationalhalloffame.com/andy-chakalis/,500,546,,true
andy-chakalis-2026,Andy Chakalis,2026,portrait-or-person-specific,0.84,https://clevelandinternationalhalloffame.com/wp-content/uploads/2026/03/andy-chakalis-500.jpg,https://clevelandinternationalhalloffame.com/andy-chakalis/,500,546,,true
andy-fedynsky-2026,Andy Fedynsky,2026,portrait-or-person-specific,0.84,https://clevelandinternationalhalloffame.com/wp-content/uploads/2026/03/andy-fedynsky-500-235x300.jpg,https://clevelandinternationalhalloffame.com/andy-fedynsky/,500,637,,true
andy-fedynsky-2026,Andy Fedynsky,2026,portrait-or-person-specific,0.84,https://clevelandinternationalhalloffame.com/wp-content/uploads/2026/03/andy-fedynsky-500.jpg,https://clevelandinternationalhalloffame.com/andy-fedynsky/,500,637,,true
arnie-de-la-porte-2016-2016,Arnie de la Porte – 2016,2016,portrait-or-person-specific,0.84,https://clevelandinternationalhalloffame.com/wp-content/uploads/2016/10/arnie-delaporte-1500-600x847.jpg,https://clevelandinternationalhalloffame.com/arnie-de-la-porte-2016/,1500,2118,Arnie de la Porte,true
arnie-de-la-porte-2016-2016,Arnie de la Porte – 2016,2016,portrait-or-person-specific,0.84,https://www.clevelandpeople.com/images/hof/hof-2016/event/peter-de-la-porte-2.jpg,https://clevelandinternationalhalloffame.com/arnie-de-la-porte-2016/,500,428,Peter de la Porte accepting for his father Arnie,true
