id,name,classYear,sourceRuntimePath,sourceWidth,sourceHeight,normalResolution,shortestSide,aspectRatio,fileSizeBytes,fileSizeLabel,qualityLabel,fitMode,reviewFlags,reviewRecommendation,rightsStatus,approvedForKiosk
valarie-mccall-2020,Valarie McCall,2020,/media/images/valarie-mccall-2020/primary.jpg,214,320,214 x 320,214,0.669,34923,34.1 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
anda-cook-2022,Anda Cook,2022,/media/images/anda-cook-2022/primary.jpg,768,1024,768 x 1024,768,0.75,118106,115.3 KB,standard-source,cover,,Use generated display crops unless curator review identifies a better focal crop.,needs-review,no
carl-robson-2022,Carl Robson,2022,/media/images/carl-robson-2022/primary.jpg,400,513,400 x 513,400,0.78,27698,27.0 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
taras-szmagala-2022,Taras Szmagala,2022,/media/images/taras-szmagala-2022/primary.jpg,768,1024,768 x 1024,768,0.75,111569,109.0 KB,standard-source,cover,,Use generated display crops unless curator review identifies a better focal crop.,needs-review,no
victor-ruiz-2022,Victor Ruiz,2022,/media/images/victor-ruiz-2022/primary.png,819,1024,819 x 1024,819,0.8,1033707,1009.5 KB,standard-source,cover,,Use generated display crops unless curator review identifies a better focal crop.,needs-review,no
georgine-welo-2023,Georgine Welo,2023,/media/images/georgine-welo-2023/primary.jpg,500,625,500 x 625,500,0.8,88691,86.6 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
joyce-mariani-2023,Joyce Mariani,2023,/media/images/joyce-mariani-2023/primary.jpg,500,526,500 x 526,500,0.951,35087,34.3 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
michael-d-polensek-2023,Michael D. Polensek,2023,/media/images/michael-d-polensek-2023/primary.jpg,500,625,500 x 625,500,0.8,48535,47.4 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
pat-dowd-2023,Pat Dowd,2023,/media/images/pat-dowd-2023/primary.jpg,500,465,500 x 465,465,1.075,41773,40.8 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
pierre-bejjani-2023,Pierre Bejjani,2023,/media/images/pierre-bejjani-2023/primary.jpg,500,468,500 x 468,468,1.068,38153,37.3 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
sudarshan-sathe-2023,Sudarshan Sathe,2023,/media/images/sudarshan-sathe-2023/primary.jpg,500,591,500 x 591,500,0.846,77835,76.0 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
ambassador-edward-f-crawford-2024,Ambassador Edward F. Crawford,2024,/media/images/ambassador-edward-f-crawford-2024/primary.jpg,500,603,500 x 603,500,0.829,38245,37.3 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
dona-brady-2024,Dona Brady,2024,/media/images/dona-brady-2024/primary.jpg,500,701,500 x 701,500,0.713,224089,218.8 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
dr-eugene-jordan-2024,Dr. Eugene Jordan,2024,/media/images/dr-eugene-jordan-2024/primary.jpg,876,1024,876 x 1024,876,0.855,103233,100.8 KB,standard-source,cover,,Use generated display crops unless curator review identifies a better focal crop.,needs-review,no
erika-puussaar-2024,Erika Puussaar,2024,/media/images/erika-puussaar-2024/primary.jpg,500,625,500 x 625,500,0.8,223643,218.4 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
johnny-k-wu-2024,Johnny K. Wu,2024,/media/images/johnny-k-wu-2024/primary.jpg,500,622,500 x 622,500,0.804,117186,114.4 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
veronica-dahlberg-2024,Veronica Dahlberg,2024,/media/images/veronica-dahlberg-2024/primary.jpg,500,481,500 x 481,481,1.04,125580,122.6 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
beverly-kerecman-2025,Beverly Kerecman,2025,/media/images/beverly-kerecman-2025/primary.jpg,500,518,500 x 518,500,0.965,240637,235.0 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
branka-malinar-2025,Branka Malinar,2025,/media/images/branka-malinar-2025/primary.jpg,500,629,500 x 629,500,0.795,230025,224.6 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
david-gilbert-2025,David Gilbert,2025,/media/images/david-gilbert-2025/primary.jpg,618,609,618 x 609,609,1.015,192412,187.9 KB,standard-source,cover,,Use generated display crops unless curator review identifies a better focal crop.,needs-review,no
mayor-frank-jackson-2025,Mayor Frank Jackson,2025,/media/images/mayor-frank-jackson-2025/primary.jpg,500,625,500 x 625,500,0.8,213278,208.3 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
raj-aggarwal-2025,Raj Aggarwal,2025,/media/images/raj-aggarwal-2025/primary.jpg,500,536,500 x 536,500,0.933,184017,179.7 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
svetlana-stolyarova-2025,Svetlana Stolyarova,2025,/media/images/svetlana-stolyarova-2025/primary.jpg,500,667,500 x 667,500,0.75,128657,125.6 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
aklilu-demessie-2026,Aklilu Demessie,2026,/media/images/aklilu-demessie-2026/primary.jpg,500,906,500 x 906,500,0.552,276038,269.6 KB,usable-source,contain,tall-source|usable-but-small-source,Use neutral matte fit to avoid over-cropping; review for a custom curator-approved crop or replacement portrait.,needs-review,no
andy-chakalis-2026,Andy Chakalis,2026,/media/images/andy-chakalis-2026/primary.jpg,500,546,500 x 546,500,0.916,171119,167.1 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
andy-fedynsky-2026,Andy Fedynsky,2026,/media/images/andy-fedynsky-2026/primary.jpg,500,637,500 x 637,500,0.785,191633,187.1 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
